STT	漢字	Hán Việt	ひらがな	Nghĩa	Chưa thuộc	Từ loại
1	男性	Nam tính	だんせい	Nam giới		
2	女性	Nữ tính	じょせい	Nữ giới		
3	理想	Lý tưởng	りそう	Lý tưởng		
4	高齢	Cao linh	こうれい	Cao tuổi		
5	年上	Niên thượng	としうえ	Hơn tuổi		
6	目上	Mục thượng	めうえ	Người trên		
7	敬語	Kính ngữ	けいご	Kính ngữ		
8	先輩	Tiền bối	せんぱい	Tiền bối		
9	後輩	Hậu bối	こうはい	Hậu bối		
10	職場	Chức trường	しょくば	Nơi làm việc		
11	上司	Thượng ty	じょうし	Cấp trên		
12	決定	Quyết định	けってい	Quyết định		
13	相手	Tương thủ	あいて	Đối tác		
15	就職	Tựu chức	しゅうしょく	Có việc làm		
17	友人	Hữu nhân	ゆうじん	Bạn thân		
18	時代	Thời đại	じだい	Thời đại		
19	仲	Trọng	なか	Quan hệ		
21	生年月日	Sinh Niên Nguyệt Nhật	せいねんがっぴ	Ngày tháng năm sinh		
22	誕生	Đản sinh	たんじょう	Ra đời		
26	出身	Xuất thân	しゅっしん	Xuất thân		
23	命	Mệnh	いのち	Số mệnh, cuộc sống		
25	計画	Kế hoạch	けいかく	Kế hoạch		
27	故郷	Cố hương	こきょう	Quê hương		
28	事業	Sự nghiệp	じぎょう	Sự nghiệp		
29	喜ぶ	Hỉ	よろこぶ	Hạnh phúc		
20	記入する	Kí nhập	きにゅうする	Nhập vào		
24	立てる	Lập	たてる	Lập ( kế hoạch		
16	頼む	Lại	たのむ	Nhờ vả		
30	成長する	Thành trường	せいちょうする	Trưởng thành		
31	成人する	Thành nhân	せいじんする	Người lớn		
32	合格する	Hợp cách	ごうかくする	Đỗ (kỳ thi		
33	進学する	Tiến học	しんがくする	Đi học		
34	退学する	Thoái học	たいがくする	Bỏ học		
35	就職する	Tựu chức	しゅうしょくする	Có việc làm		
36	介護	Giới hộ	かいご	Chăm sóc		
37	決める	Quyết	きめる	Quyết định		
38	退職する	Thoái chức	たいしょくする	Nghỉ việc		
39	倒産する	Đảo sản	とうさんする	Phá sản		
40	失業する	Thất nghiệp	しつぎょうする	Thất nghiệp		
41	残業する	Tàn nghiệp	ざんぎょうする	Làm thêm giờ		
42	疲れる	Bì	つかれる	Mệt		
43	生活する	Sinh hoạt	せいかつする	Cuộc sống		
44	通勤する	Thông cần	つうきんする	Đi làm		
45	学歴	Học lịch	がくれき	Bằng cấp		
46	実力	Thực lực	じつりょく	Thực lực		
47	給料	Cấp liệu	きゅうりょう	Lương		
48	面接する	Diện tiếp	めんせつする	Phỏng vấn		
49	休憩する	Hưu khế	きゅうけいする	Nghỉ giải lao		
50	観光する	Quan quang	かんこうする	Thăm quan		
51	帰国する	Quy quốc	きこくする	Về nước		
52	帰省する	Quy tỉnh	きせいする	Về quê		
53	帰宅する	Quy trạch	きたくする	Về nhà		
54	参加する	Tham gia	さんかする	Tham gia		
55	活動	Hoạt động	かつどう	Hoạt động		
56	出席する	Xuất tịch	しゅっせきする	Tham gia		
57	欠席する	Khuyết tịch	けっせきする	Không tham gia		
58	寝坊	Tẩm phường	ねぼう	Ngủ quên		
59	遅刻する	Trì khắc	ちこくする	Đến muộn		
60	化粧する	Hóa trang	けしょうする	Trang điểm		
61	苦手	Khổ thủ	にがて	Kém		
62	計算する	Kế toán	けいさんする	Tính toán		
63	計画する	Kế hoạch	けいかくする	Kế hoạch		
64	成功する	Thành công	せいこうする	Thành công		
65	失敗する	Thất bại	しっぱいする	Thất bại		
66	実験	Thực nghiệm	じっけん	Thực nghiệm		
67	準備する	Chuẩn bị	じゅんびする	Chuẩn bị		
68	整理する	Chỉnh lý	せいりする	Sắp xếp		
69	書類	Thư loại	しょるい	Giấy tờ		
70	品	Phẩm	しな	Hàng hóa		
71	届く	Giới	とどく	Đến nơi		
72	注文する	Chú văn	ちゅうもんする	Đặt hàng		
73	貯金する	Trữ kim	ちょきんする	Tiết kiệm		
74	増える	Tăng	ふえる	Tăng		
75	徹夜する	Triệt dạ	てつやする	Thức xuyên đêm		
76	身長	Thân trường	しんちょう	Chiều cao		
77	体重	Thể trọng	たいじゅう	Cân nặng		
78	怪我	Quái ngã	けが	Bị thương		
79	趣味	Thú vị	しゅみ	Sở thích		
80	読書	Độc thư	どくしょ	Đọc sách		
81	興味	Hưng vị	きょうみ	Hứng thú		
82	歴史	Lịch sử	れきし	Lịch sử		
83	思い出	Tư xuất	おもいで	Hồi ức		
84	冗談	Nhũng đàm	じょうだん	Đùa cợt		
85	本気	Bản khí	ほんき	Sự thật		
86	目的	Mục đích	もくてき	Mục đích		
87	約束する	Ước thúc	やくそくする	Lời hứa		
88	おしゃべりする			Nói chuyện		
89	怒る	Nộ	おこる	Tức giận		
90	遠慮する	Viễn lự	えんりょ	Ngại ngần		
91	我慢する	Ngã mạn	がまんする	Chịu đựng		
92	迷惑する	Mê hoặc	めいわくする	Làm phiền		
93	捨てる	Vứt	すてる	Vứt		
94	希望	Hi vọng	きぼう	Hi vọng		
95	夢	Mộng	ゆめ	Giấc mơ, ước mơ		
96	怖い	Bố	こわい	Đáng sợ		
97	賛成する	Tán thành	さんせいする	Tán thành		
98	挙げる	Cử	あげる	Giơ tay		
99	反対する	Phản đối	はんたいする	Phản đối		
100	想像する	Tưởng tượng	そうぞう	Tưởng tượng		
101	現実	Hiện thực	げんじつ	Hiện thực, sự thật		
102	努力する	Nỗ lực	どりょくする	Nỗ lực		
103	太陽	Thái dương	たいよう	Mặt trời		
104	昇る	Thăng	のぼる	Lên cao, tăng lên		
105	地球	Địa cầu	ちきゅう	Trái đất		
106	環境	Hoàn cảnh	かんきょう	Môi trường		
107	温度	Ôn độ	おんど	Nhiệt độ		
108	湿度	Thấp độ	しつど	Độ ẩm		
109	湿気	Thấp khí	しっけ	Hơi ẩm		
110	梅雨	Mai vũ	つゆ	Mùa mưa		
111	かび			Nấm mốc		
112	時期	Thời kì	じき	Thời kì		
113	暖房	Noãn phòng	だんぼう	Thiết bị làm ấm		
114	皮	Bì	かわ	Vỏ, da		
115	画面	Họa diện	がめん	Màn hình		
116	番組	Phiên tổ	ばんぐみ	Chương trình		
117	記事	Kí sự	きじ	Kí sự		
118	近所	Cận sở	きんじょ	Hàng xóm, xung quanh		
119	盗む	Đạo	ぬすむ	Ăn trộm		
120	警官	Cảnh quan	けいかん	Cảnh sát		
121	犯人	Phạm nhân	はんにん	Tội phạm		
122	小銭	Tiểu tiền	こぜに	Tiền lẻ		
123	お祝う	Chúc	おいわう	Chúc mừng		
124	ごちそう			Chiêu đãi		
125	作者	Tác giả	さくしゃ	Tác giả		
126	作品	Tác phẩm	さくひん	Tác phẩm		
127	展示	Triển thị	てんじ	Trưng bày		
128	制服	Chế phục	せいふく	Đồng phục		
129	食器	Thực khí	しょっき	Bát đĩa		
130	洗剤	Tẩy tễ	せんざい	Chất tẩy rửa		
131	底	Để	そこ	Đáy		
132	進む	Tiến	すすむ	Tiến lên,triển,bộ		
133	開発	Khai phát	かいはつ	Phát triển		
134	都市	Đô thị	とし	Thành phố		
135	寺	Tự	てら	Chùa		
136	道路	Đạo lộ	どうろ	Con đường		
137	坂	Phản	さか	Dốc		
138	煙	Yên	けむり	Khói		
139	逃げる	Đào	にげる	Bỏ chạy, tẩu thoát		
140	火事	Hỏa sự	かじ	Hỏa hoạn		
141	灰	Hôi	はい	Tro tàn		
142	判	Phán	はん	Con dấu		
